province_key,province_name_th,province_name_en,analysis_date,data_split,observed_pm25_median_ugm3,persistence_baseline_prediction,observed_pm25_median_lag1,observed_pm25_median_lag2,observed_pm25_median_lag3,temperature_mean_c_lag1,relative_humidity_mean_pct_lag1,precipitation_mm_lag1,wind_speed_mean_kmh_lag1,wind_direction_sin_lag1,wind_direction_cos_lag1,surface_pressure_mean_hpa_lag1,hotspot_count_thailand_000_050km_lag1,hotspot_count_thailand_000_050km_lag2,hotspot_count_thailand_000_050km_lag3,hotspot_count_thailand_050_100km_lag1,hotspot_count_thailand_050_100km_lag2,hotspot_count_thailand_050_100km_lag3,hotspot_count_thailand_100_300km_lag1,hotspot_count_thailand_100_300km_lag2,hotspot_count_thailand_100_300km_lag3,hotspot_count_thailand_300_500km_lag1,hotspot_count_thailand_300_500km_lag2,hotspot_count_thailand_300_500km_lag3,target_day_of_year_sin,target_day_of_year_cos,modeled_pm25_mean_lag1,at1_source_complete,at1_one_day_ahead_eligible,at1_one_day_ahead_qc_status
50,เชียงใหม่,Chiang Mai,2021-08-17,TRAIN,10.855,9.125,9.125,8.79,10.64,27.1,87.0,9.5,6.0,0.4226182617406995,-0.90630778703665,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
51,ลำพูน,Lamphun,2021-08-17,TRAIN,7.67,4.46,4.46,6.63,5.83,27.3,86.0,14.0,6.1,0.3090169943749475,-0.9510565162951536,977.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
52,ลำปาง,Lampang,2021-08-17,TRAIN,7.27,6.105,6.105,5.875,6.605,26.9,90.0,37.0,6.2,0.2923717047227366,-0.9563047559630355,984.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
54,แพร่,Phrae,2021-08-17,TRAIN,8.545000000000002,8.005,8.005,8.94,9.54,27.0,94.0,29.0,7.8,0.0174524064372834,-0.9998476951563912,993.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
55,น่าน,Nan,2021-08-17,TRAIN,15.3,13.6,13.6,15.2,16.6,27.2,89.0,13.9,5.5,0.0348994967025011,-0.9993908270190958,988.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
56,พะเยา,Phayao,2021-08-17,TRAIN,7.0,6.79,6.79,5.88,7.5,26.5,87.0,32.3,9.2,0.0174524064372834,-0.9998476951563912,966.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
57,เชียงราย,Chiang Rai,2021-08-17,TRAIN,6.895,6.875,6.875,6.625,9.09,26.5,92.0,17.6,5.8,1.2246467991473532e-16,-1.0,966.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
58,แม่ฮ่องสอน,Mae Hong Son,2021-08-17,TRAIN,4.42,4.0,4.0,3.78,4.21,27.5,87.0,8.1,5.9,-0.1391731009600655,-0.9902680687415704,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.7157953492826642,-0.6983101158835584,,True,True,PASS
50,เชียงใหม่,Chiang Mai,2021-08-18,TRAIN,10.595,10.855,10.855,9.125,8.79,27.5,86.0,4.6,3.9,0.3746065934159122,-0.9271838545667872,977.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,-0.7277014757264236,-0.6858939875998223,,True,True,PASS
51,ลำพูน,Lamphun,2021-08-18,TRAIN,6.83,7.67,7.67,4.46,6.63,27.8,85.0,3.5,4.0,0.258819045102521,-0.9659258262890682,978.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,-0.7277014757264236,-0.6858939875998223,,True,True,PASS
