province_key,province_name_th,province_name_en,month_start,year_month,year_ce,month_number,respiratory_record_count_any_position,respiratory_record_count_principal,respiratory_records_per_active_facility,active_reporting_facility_count,pm25_monthly_mean_ugm3,pm25_monthly_median_ugm3,pm25_days_observed,pm25_day_coverage_pct,total_population,opened_beds_total,opened_beds_per_1000_population,month_sin,month_cos,at2_model_eligible,at2_qc_status
50,เชียงใหม่,Chiang Mai,2023-08-01,2023-08,2023,8,4852.0,3580.0,2426.0,2.0,12.57483870967742,12.9,31,100.0,1797075,5778.0,3.21522474020283,-0.8660254037844384,-0.5000000000000004,True,PASS
52,ลำปาง,Lampang,2023-08-01,2023-08,2023,8,3022.0,2228.0,3022.0,1.0,11.31548387096774,10.9,31,100.0,711478,1628.0,2.2881944346838554,-0.8660254037844384,-0.5000000000000004,True,PASS
50,เชียงใหม่,Chiang Mai,2023-09-01,2023-09,2023,9,6287.0,5008.0,3143.5,2.0,7.776166666666667,6.2125,30,100.0,1797075,5778.0,3.21522474020283,-1.0,-1.8369701987210297e-16,True,PASS
52,ลำปาง,Lampang,2023-09-01,2023-09,2023,9,3753.0,2857.0,3753.0,1.0,7.806607142857144,4.915,28,93.33333333333331,711478,1628.0,2.2881944346838554,-1.0,-1.8369701987210297e-16,True,PASS
50,เชียงใหม่,Chiang Mai,2023-10-01,2023-10,2023,10,5076.0,3793.0,2538.0,2.0,10.973225806451614,9.64,31,100.0,1797075,5778.0,3.21522474020283,-0.8660254037844386,0.5000000000000001,True,PASS
52,ลำปาง,Lampang,2023-10-01,2023-10,2023,10,5073.0,3988.0,5073.0,1.0,12.706451612903225,12.0,31,100.0,711478,1628.0,2.2881944346838554,-0.8660254037844386,0.5000000000000001,True,PASS
50,เชียงใหม่,Chiang Mai,2023-11-01,2023-11,2023,11,5095.0,3853.0,2547.5,2.0,23.435344827586206,20.799999999999997,29,96.66666666666669,1797075,5778.0,3.21522474020283,-0.5000000000000004,0.8660254037844384,True,PASS
52,ลำปาง,Lampang,2023-11-01,2023-11,2023,11,5285.0,4004.0,5285.0,1.0,24.96551724137931,24.0,29,96.66666666666669,711478,1628.0,2.2881944346838554,-0.5000000000000004,0.8660254037844384,True,PASS
50,เชียงใหม่,Chiang Mai,2023-12-01,2023-12,2023,12,4790.0,3559.0,2395.0,2.0,35.068333333333335,35.7,30,96.7741935483871,1797075,5778.0,3.21522474020283,-2.4492935982947064e-16,1.0,True,PASS
51,ลำพูน,Lamphun,2023-12-01,2023-12,2023,12,1330.0,1262.0,1330.0,1.0,27.85666666666667,27.4,30,96.7741935483871,398440,900.0,2.258809356490312,-2.4492935982947064e-16,1.0,True,PASS
52,ลำปาง,Lampang,2023-12-01,2023-12,2023,12,4339.0,3317.0,4339.0,1.0,37.3,35.0,30,96.7741935483871,711478,1628.0,2.2881944346838554,-2.4492935982947064e-16,1.0,True,PASS
50,เชียงใหม่,Chiang Mai,2024-01-01,2024-01,2024,1,4643.0,3476.0,2321.5,2.0,30.967741935483872,30.95,31,100.0,1799019,5778.0,3.211750403970164,0.49999999999999994,0.8660254037844387,True,PASS
51,ลำพูน,Lamphun,2024-01-01,2024-01,2024,1,1210.0,1154.0,1210.0,1.0,23.901666666666664,24.174999999999997,30,96.7741935483871,396753,900.0,2.268413849422689,0.49999999999999994,0.8660254037844387,True,PASS
52,ลำปาง,Lampang,2024-01-01,2024-01,2024,1,4495.0,3242.0,4495.0,1.0,33.79838709677419,33.75,31,100.0,704126,1628.0,2.312086189119561,0.49999999999999994,0.8660254037844387,True,PASS
57,เชียงราย,Chiang Rai,2024-01-01,2024-01,2024,1,4428.0,4428.0,4428.0,1.0,27.59583333333333,29.0,24,77.41935483870968,1297657,2609.0,2.010546700707506,0.49999999999999994,0.8660254037844387,True,PASS
50,เชียงใหม่,Chiang Mai,2024-02-01,2024-02,2024,2,4511.0,3277.0,2255.5,2.0,39.70769230769231,39.900000000000006,26,89.65517241379311,1799019,5778.0,3.211750403970164,0.8660254037844386,0.5000000000000001,True,PASS
51,ลำพูน,Lamphun,2024-02-01,2024-02,2024,2,1083.0,1038.0,1083.0,1.0,38.25416666666667,36.95,24,82.75862068965517,396753,900.0,2.268413849422689,0.8660254037844386,0.5000000000000001,True,PASS
52,ลำปาง,Lampang,2024-02-01,2024-02,2024,2,3706.0,2655.0,3706.0,1.0,46.35384615384616,48.325,26,89.65517241379311,704126,1628.0,2.312086189119561,0.8660254037844386,0.5000000000000001,True,PASS
57,เชียงราย,Chiang Rai,2024-02-01,2024-02,2024,2,4160.0,4158.0,4160.0,1.0,40.34782608695652,39.7,23,79.3103448275862,1297657,2609.0,2.010546700707506,0.8660254037844386,0.5000000000000001,True,PASS
50,เชียงใหม่,Chiang Mai,2025-02-01,2025-02,2025,2,29524.0,25660.0,1180.96,25.0,33.63928571428571,34.3,28,100.0,1798588,5778.0,3.2125200435007906,0.8660254037844386,0.5000000000000001,True,PASS
51,ลำพูน,Lamphun,2025-02-01,2025-02,2025,2,10943.0,9896.0,1367.875,8.0,33.839285714285715,33.475,28,100.0,394944,900.0,2.278804083616918,0.8660254037844386,0.5000000000000001,True,PASS
52,ลำปาง,Lampang,2025-02-01,2025-02,2025,2,10465.0,8557.0,805.0,13.0,40.278571428571425,39.625,28,100.0,697679,1628.0,2.33345134366951,0.8660254037844386,0.5000000000000001,True,PASS
54,แพร่,Phrae,2025-02-01,2025-02,2025,2,8642.0,6659.0,1080.25,8.0,41.598214285714285,43.725,28,100.0,417480,879.0,2.1054900833572865,0.8660254037844386,0.5000000000000001,True,PASS
55,น่าน,Nan,2025-02-01,2025-02,2025,2,8449.0,6924.0,563.2666666666667,15.0,46.37964285714286,49.15,28,100.0,468368,1038.0,2.2162060601919857,0.8660254037844386,0.5000000000000001,True,PASS
56,พะเยา,Phayao,2025-02-01,2025-02,2025,2,11384.0,9227.0,1264.888888888889,9.0,42.114285714285714,41.05,28,100.0,451964,969.0,2.1439760688904426,0.8660254037844386,0.5000000000000001,True,PASS
57,เชียงราย,Chiang Rai,2025-02-01,2025-02,2025,2,33078.0,29810.0,1740.9473684210527,19.0,34.88035714285714,34.9,28,100.0,1295922,2609.0,2.0132384510796175,0.8660254037844386,0.5000000000000001,True,PASS
58,แม่ฮ่องสอน,Mae Hong Son,2025-02-01,2025-02,2025,2,6517.0,5397.0,931.0,7.0,32.167857142857144,31.3,28,100.0,288757,543.0,1.880473893273583,0.8660254037844386,0.5000000000000001,True,PASS
