province_key,year_month,all_diagnosis_record_count,respiratory_record_count_any_position,respiratory_record_count_principal,active_reporting_facility_count
50,2023-01,24668,4132,2884,2
50,2023-02,23698,3937,2774,2
50,2023-03,25976,4381,3067,2
50,2023-04,20494,3419,2220,2
50,2023-05,23603,3493,2175,2
50,2023-06,24175,3720,2509,2
50,2023-07,23722,3829,2660,2
50,2023-08,26017,4852,3580,2
50,2023-09,26754,6287,5008,2
50,2023-10,26004,5076,3793,2
50,2023-11,27370,5095,3853,2
50,2023-12,25595,4790,3559,2
50,2024-01,25386,4643,3476,2
50,2024-02,23667,4511,3277,2
50,2025-01,149309,34163,29368,25
50,2025-02,121189,29524,25660,25
50,2025-03,130905,26807,22930,25
50,2025-04,115777,20364,16958,25
50,2025-05,110511,18478,15344,25
50,2025-06,112845,22592,19264,25
50,2025-07,87847,15270,12798,25
50,2025-08,66399,10947,9381,24
50,2025-09,87998,18590,16100,25
50,2025-10,108671,21055,17994,25
50,2025-11,105416,23333,19881,25
50,2025-12,51951,13020,10913,24
51,2023-01,5903,1258,1172,1
51,2023-02,5054,1032,962,1
51,2023-03,5757,932,884,1
51,2023-04,4440,658,604,1
51,2023-05,2094,278,267,1
51,2023-06,4464,700,608,1
51,2023-07,4633,686,603,1
51,2023-08,4131,806,735,1
51,2023-09,5746,1587,1500,1
51,2023-10,5809,1355,1291,1
51,2023-11,6137,1299,1227,1
51,2023-12,5773,1330,1262,1
51,2024-01,6174,1210,1154,1
51,2024-02,5799,1083,1038,1
51,2025-01,59642,11289,10241,8
51,2025-02,54991,10943,9896,8
51,2025-03,55268,9340,8340,8
51,2025-04,49341,6826,5886,8
51,2025-05,48121,6256,5461,8
51,2025-06,48815,7952,6980,10
51,2025-07,35448,4589,3973,8
51,2025-08,24506,3011,2651,8
51,2025-09,31206,5295,4747,8
51,2025-10,42610,6900,6162,8
51,2025-11,48400,9006,8239,8
51,2025-12,26441,5321,4858,8
52,2023-01,21036,3542,2550,1
52,2023-02,20054,3080,2238,1
52,2023-03,22235,3233,2302,1
52,2023-04,14572,2251,1596,1
52,2023-05,21048,3739,2853,1
52,2023-06,22653,4223,3097,1
52,2023-07,19771,3290,2191,1
52,2023-08,18936,3022,2228,1
52,2023-09,17666,3753,2857,1
52,2023-10,23265,5073,3988,1
52,2023-11,23059,5285,4004,1
52,2023-12,20087,4339,3317,1
52,2024-01,22629,4495,3242,1
52,2024-02,20861,3706,2655,1
52,2025-01,91341,17578,14221,13
52,2025-02,63146,10465,8557,13
52,2025-03,64013,9416,7346,13
52,2025-04,55713,7155,5537,13
52,2025-05,56051,6999,5470,12
52,2025-06,47275,7215,5796,11
52,2025-07,42655,5864,4560,10
52,2025-08,37968,5301,4194,9
52,2025-09,36188,5464,4396,9
52,2025-10,32433,4627,3723,8
52,2025-11,25974,3442,2792,8
52,2025-12,15188,2400,1922,8
54,2025-01,62852,9381,7188,8
54,2025-02,57396,8642,6659,8
54,2025-03,55190,7536,5556,8
54,2025-04,43819,5671,4133,7
54,2025-05,46694,6169,4572,7
54,2025-06,47983,7785,5999,8
54,2025-07,45428,6011,4323,8
54,2025-08,42746,5574,4016,8
54,2025-09,43052,6114,4612,8
54,2025-10,50211,7668,5860,8
54,2025-11,56534,9872,7751,8
54,2025-12,21385,3505,2600,6
55,2025-01,22815,4915,3991,13
55,2025-02,35884,8449,6924,15
55,2025-03,41800,8171,6426,15
55,2025-04,43049,6816,4842,14
55,2025-05,40785,5771,4183,14
55,2025-06,29976,4779,3522,12
55,2025-07,25532,3673,2630,11
55,2025-08,20239,2883,2123,10
55,2025-09,23199,3813,2765,10
55,2025-10,25257,4375,3381,11
55,2025-11,20305,4040,3126,11
55,2025-12,11575,2546,1905,9
56,2025-01,58017,12750,10197,9
56,2025-02,55780,11384,9227,9
56,2025-03,54085,8875,6870,9
56,2025-04,45350,7557,5601,9
56,2025-05,46358,7707,5716,9
56,2025-06,46522,8760,6714,9
56,2025-07,47551,7534,5549,9
56,2025-08,43944,7046,5067,9
56,2025-09,46598,7884,5803,9
56,2025-10,49116,8680,6530,9
56,2025-11,51174,10791,8723,9
56,2025-12,26729,6736,5681,9
57,2023-01,36034,4970,4586,1
57,2023-02,32585,4457,4293,1
57,2023-03,29599,3647,3602,1
57,2023-04,24101,3695,3398,1
57,2023-05,24528,4110,3807,1
57,2023-06,25841,5314,5016,1
57,2023-07,22533,4601,4442,1
57,2023-08,24280,4809,4666,1
57,2023-09,25493,6359,6266,1
57,2023-10,22974,4687,4637,1
57,2023-11,22219,4489,4462,1
57,2023-12,18800,4748,4742,1
57,2024-01,15281,4428,4428,1
57,2024-02,17198,4160,4158,1
57,2025-01,166115,34251,30638,19
57,2025-02,153440,33078,29810,19
57,2025-03,149295,24269,21044,19
57,2025-04,121572,16534,15028,19
57,2025-05,128655,16546,15108,19
57,2025-06,125849,19806,18162,19
57,2025-07,124141,16201,14504,17
57,2025-08,111032,13877,12454,16
57,2025-09,113822,15316,13906,15
57,2025-10,127200,17666,16313,16
57,2025-11,116367,20911,19479,16
57,2025-12,52657,9963,9255,13
58,2025-01,23580,6843,5583,7
58,2025-02,22200,6517,5397,7
58,2025-03,23010,6659,5507,7
58,2025-04,19298,4905,3946,7
58,2025-05,20010,4535,3597,7
58,2025-06,21171,5785,4862,7
58,2025-07,17387,4144,3387,7
58,2025-08,14215,3391,2721,7
58,2025-09,17549,4773,3963,7
58,2025-10,21162,6038,5024,7
58,2025-11,22607,7487,6367,7
58,2025-12,11267,3613,3054,7
