facility_key,province_key
00037,50
00038,51
00039,52
00041,54
00042,55
00043,56
00044,57
00045,58
00529,50
00530,50
00531,50
00532,50
00533,50
00534,50
00535,50
00536,50
00537,50
00538,50
00539,50
00540,50
00541,50
00542,50
00543,50
00544,50
00545,50
00546,50
00547,50
00548,50
00549,50
00550,50
00551,50
00552,50
00553,51
00554,51
00555,51
00556,51
00557,51
00558,51
00559,51
00560,51
00561,52
00562,52
00563,52
00564,52
00565,52
00566,52
00567,52
00568,52
00569,52
00570,52
00571,52
00572,52
00573,52
00583,54
00584,54
00585,54
00586,54
00587,54
00588,54
00589,54
00590,54
00591,55
00592,55
00593,55
00594,55
00595,55
00596,55
00597,55
00598,55
00599,55
00600,55
00601,55
00602,55
00603,55
00604,55
00605,56
00606,56
00607,56
00608,56
00609,56
00610,56
00611,56
00612,56
00613,57
00614,57
00615,57
00616,57
00617,57
00618,57
00619,57
00620,57
00621,57
00622,57
00623,57
00624,57
00625,57
00626,57
00627,57
00628,57
00629,57
00630,57
00631,58
00632,58
00633,58
00634,58
00635,58
00636,58
00637,58
05811,50
05812,50
05813,50
05814,50
05815,50
05816,50
05817,50
05818,50
05819,50
05820,50
05821,50
05822,50
05823,50
05824,50
05825,50
05826,50
05827,50
05829,50
05830,50
05831,50
05832,50
05833,50
05834,50
05835,50
05836,50
05837,50
05838,50
05839,50
05840,50
05841,50
05842,50
05843,50
05844,50
05845,50
05846,50
05847,50
05848,50
05849,50
05850,50
05851,50
05852,50
05853,50
05854,50
05855,50
05856,50
05857,50
05858,50
05859,50
05860,50
05861,50
05862,50
05863,50
05864,50
05865,50
05866,50
05867,50
05868,50
05869,50
05870,50
05871,50
05872,50
05873,50
05874,50
05875,50
05876,50
05877,50
05878,50
05879,50
05880,50
05881,50
05882,50
05883,50
05884,50
05885,50
05886,50
05887,50
05888,50
05889,50
05890,50
05891,50
05892,50
05893,50
05894,50
05895,50
05896,50
05897,50
05898,50
05899,50
05900,50
05901,50
05902,50
05903,50
05904,50
05905,50
05906,50
05907,50
05908,50
05909,50
05910,50
05911,50
05912,50
05913,50
05914,50
05915,50
05916,50
05917,50
05918,50
05919,50
05920,50
05921,50
05922,50
05923,50
05924,50
05925,50
05926,50
05927,50
05928,50
05929,50
05930,50
05931,50
05932,50
05933,50
05934,50
05935,50
05936,50
05937,50
05938,50
05939,50
05940,50
05941,50
05942,50
05943,50
05944,50
05945,50
05946,50
05947,50
05948,50
05949,50
05950,50
05951,50
05952,50
05953,50
05954,50
05955,50
05956,50
05957,50
05958,50
05959,50
05960,50
05961,50
05962,50
05963,50
05964,50
05965,50
05966,50
05967,50
05968,50
05969,50
05970,50
05971,50
05972,50
05973,50
05974,50
05975,50
05976,50
05977,50
05978,50
05979,50
05980,50
05981,50
05982,50
05983,50
05984,50
05985,50
05986,50
05987,50
05988,50
05989,50
05990,50
05991,50
05992,50
05993,50
05994,50
05995,50
05996,50
05997,50
05998,50
05999,50
06000,50
06001,50
06002,50
06003,50
06004,50
06005,50
06006,50
06007,50
06008,50
06009,50
06010,50
06011,50
06012,50
06013,50
06014,50
06015,50
06016,50
06017,50
06018,50
06020,50
06021,50
06022,50
06023,50
06024,50
06025,50
06026,50
06027,50
06028,50
06029,50
06030,50
06031,50
06032,50
06033,50
06034,50
06035,50
06036,50
06037,50
06038,50
06039,50
06040,50
06041,50
06042,50
06043,50
06044,50
06045,50
06046,50
06048,50
06049,50
06050,50
06051,51
06052,51
06053,51
06054,51
06055,51
06056,51
06057,51
06058,51
06059,51
06060,51
06061,51
06062,51
06063,51
06064,51
06065,51
06066,51
06067,51
06068,51
06069,51
06070,51
06071,51
06072,51
06073,51
06074,51
06075,51
06076,51
06077,51
06078,51
06079,51
06080,51
06081,51
06082,51
06083,51
06084,51
06085,51
06086,51
06087,51
06088,51
06089,51
06090,51
06091,51
06092,51
06093,51
06094,51
06095,51
06096,51
06097,51
06098,51
06099,51
06100,51
06101,51
06102,51
06103,51
06104,51
06105,51
06106,51
06107,51
06108,51
06109,51
06110,51
06111,51
06112,51
06113,51
06114,51
06115,51
06116,52
06117,52
06118,52
06119,52
06120,52
06121,52
06122,52
06123,52
06124,52
06125,52
06126,52
06127,52
06128,52
06129,52
06130,52
06131,52
06132,52
06133,52
06134,52
06135,52
06136,52
06137,52
06138,52
06139,52
06140,52
06141,52
06142,52
06143,52
06144,52
06145,52
06146,52
06147,52
06148,52
06149,52
06150,52
06151,52
06152,52
06153,52
06154,52
06155,52
06156,52
06157,52
06158,52
06159,52
06160,52
06161,52
06162,52
06163,52
06164,52
06165,52
06166,52
06167,52
06168,52
06169,52
06170,52
06171,52
06172,52
