facility_key,province_key,opened_beds
00021,50,2.0
10672,52,810.0
10674,57,758.0
10713,50,665.0
10714,51,411.0
10715,54,502.0
10716,55,475.0
10717,56,373.0
10718,56,231.0
10719,58,157.0
11119,50,219.0
11120,50,60.0
11121,50,98.0
11122,50,60.0
11123,50,70.0
11124,50,32.0
11125,50,232.0
11126,50,70.0
11127,50,66.0
11128,50,150.0
11129,50,57.0
11130,50,222.0
11131,50,87.0
11132,50,77.0
11133,50,30.0
11134,50,60.0
11135,50,47.0
11136,50,36.0
11137,50,30.0
11138,50,30.0
11139,50,30.0
11140,51,30.0
11141,51,30.0
11142,51,60.0
11143,51,30.0
11144,51,75.0
11145,51,30.0
11146,52,30.0
11147,52,157.0
11148,52,34.0
11149,52,40.0
11150,52,30.0
11151,52,30.0
11152,52,85.0
11153,52,8.0
11154,52,30.0
11155,52,30.0
11156,52,30.0
11157,52,33.0
11166,54,54.0
11167,54,44.0
11169,54,42.0
11170,54,36.0
11171,54,30.0
11172,54,30.0
11173,55,34.0
11174,55,30.0
11175,55,44.0
11176,55,40.0
11177,55,83.0
11178,55,37.0
11179,55,30.0
11180,55,30.0
11181,55,30.0
11182,55,20.0
11183,55,30.0
11184,56,51.0
11185,56,30.0
11186,56,76.0
11187,56,61.0
11188,56,34.0
11189,57,66.0
11190,57,130.0
11191,57,30.0
11192,57,158.0
11193,57,52.0
11194,57,118.0
11195,57,60.0
11196,57,64.0
11197,57,60.0
11198,57,38.0
11199,57,34.0
11200,57,30.0
11201,57,30.0
11202,57,30.0
11203,58,30.0
11204,58,58.0
11205,58,118.0
11206,58,30.0
11207,58,30.0
11208,58,30.0
11452,54,38.0
11453,55,125.0
11454,57,68.0
11507,50,7.0
11508,50,60.0
11510,55,20.0
11512,52,80.0
11625,55,10.0
11643,50,30.0
11978,50,17.0
11979,50,9.0
11980,50,340.0
11982,50,158.0
11986,50,0.0
11991,50,150.0
11992,50,39.0
11994,50,109.0
11995,50,60.0
11999,50,60.0
12000,51,100.0
12003,52,101.0
12005,52,0.0
12011,54,43.0
12020,56,100.0
12024,57,238.0
12026,57,120.0
12279,50,60.0
12280,50,415.0
12281,50,107.0
12283,52,100.0
13775,50,70.0
13780,50,840.0
13785,50,350.0
14197,58,90.0
14465,50,22.0
14550,50,119.0
14551,50,0.0
14555,51,59.0
14636,50,220.0
14916,50,30.0
14922,50,12.0
14933,57,60.0
15012,57,45.0
15140,56,13.0
22343,54,60.0
23429,57,0.0
23736,50,10.0
24956,51,16.0
25017,55,0.0
28823,57,0.0
40540,50,0.0
40744,56,0.0
40745,56,0.0
41326,57,59.0
41417,57,30.0
41509,57,274.0
41519,50,5.0
41574,57,57.0
41736,50,30.0
42186,51,59.0
80092,50,0.0
80093,50,19.0
