province_key,year_ce,male_population,female_population,total_population
50,2022,864339,928135,1792474
50,2023,865666,931409,1797075
50,2024,865486,933533,1799019
50,2025,863853,934735,1798588
51,2022,191596,207961,399557
51,2023,190822,207618,398440
51,2024,189647,207106,396753
51,2025,188407,206537,394944
52,2022,349574,369216,718790
52,2023,345539,365939,711478
52,2024,341663,362463,704126
52,2025,337970,359709,697679
54,2022,207174,223495,430669
54,2023,204787,221544,426331
54,2024,202378,219367,421745
54,2025,200080,217400,417480
55,2022,236941,237598,474539
55,2023,236008,236714,472722
55,2024,234647,235860,470507
55,2025,233287,235081,468368
56,2022,224063,237368,461431
56,2023,222408,235879,458287
56,2024,220378,234386,454764
56,2025,218714,233250,451964
57,2022,630619,669017,1299636
57,2023,629917,669060,1298977
57,2024,628811,668846,1297657
57,2025,627342,668580,1295922
58,2022,145194,141592,286786
58,2023,145500,142144,287644
58,2024,145723,142359,288082
58,2025,145888,142869,288757
