latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
23.53246,120.19005,341.66,0.54,0.51,2025-12-02,442,N,VIIRS,n,2,296.64,5.64,D,0
26.56963,116.9353,326.06,0.37,0.58,2025-12-02,443,N,VIIRS,n,2,290.81,2.42,D,0
26.68516,117.00906,327.65,0.36,0.57,2025-12-02,443,N,VIIRS,n,2,288.83,1.94,D,0
26.73533,119.63622,335.97,0.5,0.49,2025-12-02,443,N,VIIRS,n,2,295.29,5.9,D,3
27.31622,117.30759,337.97,0.34,0.56,2025-12-02,443,N,VIIRS,n,2,292.47,2.63,D,0
27.64458,117.32931,332.3,0.33,0.55,2025-12-02,443,N,VIIRS,n,2,291.53,2.71,D,0
28.92103,116.84272,335.43,0.33,0.55,2025-12-02,443,N,VIIRS,n,2,291.24,2.25,D,0
28.96956,116.82121,329.75,0.33,0.55,2025-12-02,443,N,VIIRS,n,2,290.97,2.2,D,0
29.02576,117.06892,337.16,0.32,0.54,2025-12-02,443,N,VIIRS,n,2,292.52,1.69,D,0
29.04833,117.12251,328.92,0.63,0.54,2025-12-02,443,N,VIIRS,n,2,291.29,5.11,D,0
29.00572,116.80202,325.86,0.33,0.55,2025-12-02,444,N,VIIRS,n,2,291.13,1.77,D,0
29.03059,116.50965,329.17,0.34,0.56,2025-12-02,444,N,VIIRS,n,2,290.57,2.43,D,0
29.04802,117.12111,326.85,0.63,0.54,2025-12-02,444,N,VIIRS,n,2,291.1,3.4,D,0
29.13069,117.00516,331.34,0.32,0.55,2025-12-02,444,N,VIIRS,n,2,292.4,2.15,D,0
29.15217,116.77685,347.02,0.33,0.55,2025-12-02,444,N,VIIRS,n,2,291.79,3.3,D,0
29.20604,117.08119,338.91,0.63,0.54,2025-12-02,444,N,VIIRS,n,2,292.89,6.8,D,0
29.21375,116.72849,325.45,0.33,0.55,2025-12-02,444,N,VIIRS,n,2,291.96,1.84,D,0
29.3332,116.63302,327.16,0.33,0.55,2025-12-02,444,N,VIIRS,n,2,290.31,1.61,D,0
30.44213,113.87659,332.81,0.45,0.63,2025-12-02,444,N,VIIRS,n,2,283.93,2.42,D,0
30.58183,113.42271,347.07,0.47,0.64,2025-12-02,444,N,VIIRS,n,2,284.14,6.87,D,0
30.78102,113.12256,334.16,0.49,0.65,2025-12-02,444,N,VIIRS,n,2,283.94,6.01,D,0
31.08438,119.24947,340.75,0.43,0.46,2025-12-02,444,N,VIIRS,n,2,285.03,6.1,D,0
33.26093,131.65352,327.33,0.4,0.45,2025-12-02,444,N,VIIRS,n,2,292.58,2.07,D,2
33.26827,131.64357,333.97,0.4,0.45,2025-12-02,444,N,VIIRS,n,2,290.89,3.64,D,2
34.05559,131.78793,329.72,0.42,0.45,2025-12-02,444,N,VIIRS,n,2,294.87,3.29,D,2
34.49091,133.71519,328.19,0.54,0.51,2025-12-02,444,N,VIIRS,n,2,293.61,7.39,D,3
35.25877,115.89502,333.07,0.54,0.51,2025-12-02,445,N,VIIRS,n,2,281.46,4.17,D,0
35.2615,115.89483,340.16,0.54,0.51,2025-12-02,445,N,VIIRS,n,2,281.92,7.59,D,0
35.26332,115.89348,334.12,0.54,0.51,2025-12-02,445,N,VIIRS,n,2,280.51,4.16,D,0
37.01281,126.38744,328.56,0.41,0.37,2025-12-02,445,N,VIIRS,n,2,280.22,7.69,D,3
36.18583,112.96093,339.74,0.37,0.58,2025-12-02,446,N,VIIRS,n,2,280,4.53,D,0
37.13617,115.45541,331.36,0.51,0.5,2025-12-02,446,N,VIIRS,n,2,281.42,2.11,D,0
37.35226,112.07465,338.71,0.38,0.59,2025-12-02,446,N,VIIRS,n,2,280.71,5.31,D,0
37.38726,112.09744,334.35,0.38,0.59,2025-12-02,446,N,VIIRS,n,2,281.5,4.22,D,0
37.63242,113.27848,340.78,0.33,0.55,2025-12-02,446,N,VIIRS,n,2,275.33,2.45,D,0
37.69112,117.75514,330.58,0.38,0.44,2025-12-02,446,N,VIIRS,n,2,279.29,2.28,D,0
37.87486,118.08516,332.64,0.55,0.43,2025-12-02,446,N,VIIRS,n,2,280.44,4.5,D,0
37.94916,113.01901,326.11,0.33,0.55,2025-12-02,446,N,VIIRS,n,2,277.77,1.2,D,0
38.46039,115.79967,330.59,0.46,0.47,2025-12-02,446,N,VIIRS,n,2,280.15,3.78,D,0
38.47658,112.87601,351.14,0.33,0.55,2025-12-02,446,N,VIIRS,n,2,278.3,4.2,D,0
38.56441,115.73067,334.63,0.46,0.47,2025-12-02,446,N,VIIRS,n,2,279.16,3.63,D,0
38.56549,112.59568,325.33,0.33,0.56,2025-12-02,446,N,VIIRS,n,2,277.91,1.69,D,0
38.60006,112.98729,326.18,0.32,0.54,2025-12-02,446,N,VIIRS,n,2,277.83,1.65,D,0
38.63388,113.05768,330.79,0.63,0.54,2025-12-02,446,N,VIIRS,n,2,277.36,5.99,D,0
38.74566,116.96346,332.61,0.4,0.44,2025-12-02,446,N,VIIRS,n,2,278.83,3.02,D,0
38.90154,111.73183,340.92,0.36,0.58,2025-12-02,446,N,VIIRS,n,2,274.61,3.33,D,0
38.9049,111.73068,332.8,0.36,0.58,2025-12-02,446,N,VIIRS,n,2,272.41,2.71,D,0
38.97394,125.85168,339.74,0.41,0.37,2025-12-02,446,N,VIIRS,n,2,276.73,4.29,D,0
39.14169,116.68903,338.77,0.4,0.45,2025-12-02,446,N,VIIRS,n,2,278.44,4.3,D,0
39.20663,116.13614,336.75,0.43,0.46,2025-12-02,446,N,VIIRS,n,2,280.85,5.85,D,0
39.43586,118.46803,333.23,0.5,0.41,2025-12-02,446,N,VIIRS,n,2,281.35,7.94,D,2
39.61884,122.78473,332.99,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,275.4,6.44,D,0
39.76482,123.19771,326.76,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,273.33,1.84,D,0
39.78282,123.22548,344.71,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,278.63,9.26,D,0
39.8015,123.25771,344.92,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,275.66,6.99,D,0
39.8017,118.09185,327.65,0.51,0.41,2025-12-02,446,N,VIIRS,n,2,276.5,2.29,D,2
39.81455,123.14301,327.04,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,272.95,3.54,D,0
39.82779,122.96902,327.78,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,272.95,2.01,D,0
39.83109,122.96815,331.24,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,273.41,3.4,D,0
39.87416,123.24483,338.85,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,276.45,13.08,D,0
40.4876,123.41451,328.98,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,271.12,2.82,D,0
40.50319,122.50238,328.1,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.75,3.61,D,0
40.6711,122.38351,327.91,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,277.29,3.8,D,2
40.82161,122.09288,329.73,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,279.72,17.89,D,0
40.85563,122.02608,327.83,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.32,1.93,D,0
40.86823,121.98653,327.3,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,271.8,2.47,D,0
40.86897,121.99109,333.43,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.83,4.08,D,0
40.88068,121.97823,329,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.75,2.08,D,0
40.89398,122.01748,325.77,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.32,2.52,D,0
40.89895,122.24003,332.54,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.3,3.7,D,0
40.90187,122.25822,348.58,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,276.13,10.28,D,0
40.92123,122.10049,328.37,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.45,2.97,D,0
40.93627,122.12965,335.37,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,271.69,3.49,D,0
40.93845,122.10043,328.45,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.27,5.71,D,0
40.93958,122.21443,330.96,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.8,2.49,D,0
40.94653,122.23629,328.91,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.19,2.3,D,0
40.94687,122.08852,326.89,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.79,6.5,D,0
40.95454,122.48088,329.85,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,270.89,3.09,D,0
40.98161,122.28358,325.42,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.84,1.65,D,0
40.98365,122.0034,327.13,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.06,3.34,D,0
41.00829,122.29993,328.2,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.47,1.96,D,0
41.03446,121.50404,336.88,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.3,3.16,D,0
41.03745,121.45947,329.3,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.39,2.34,D,0
41.03778,121.50308,327.24,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.54,2.58,D,0
41.05151,122.01771,325.11,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,271.44,1.69,D,0
41.05594,122.04514,334.01,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.77,6.4,D,0
41.06404,122.09541,347.19,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,275.07,5.23,D,0
41.06614,121.61114,335.52,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.44,5.37,D,0
41.06807,122.09906,325.85,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,271.49,4.69,D,0
41.07613,122.10634,328,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,271.53,1.85,D,0
41.0789,122.6,339.8,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,272.49,3.7,D,0
41.10463,122.24141,330.03,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.34,2.44,D,0
41.13607,122.99167,326.35,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,274.86,2.76,D,2
41.15044,122.97363,327.25,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,275,2.06,D,2
41.15474,122.13342,339.27,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.48,3.37,D,0
41.15548,122.13799,332.5,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.23,3.37,D,0
41.21278,122.30317,337.14,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,273.19,6.78,D,0
41.2245,122.29037,329.35,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.39,4.07,D,0
41.22924,122.29858,329.26,0.39,0.36,2025-12-02,446,N,VIIRS,n,2,272.42,4.3,D,0
41.23469,122.46364,328.04,0.38,0.36,2025-12-02,446,N,VIIRS,n,2,272.32,1.63,D,0
39.98542,113.26966,339.44,0.57,0.52,2025-12-02,447,N,VIIRS,n,2,273.76,9.82,D,0
39.98704,113.27616,337.71,0.57,0.52,2025-12-02,447,N,VIIRS,n,2,273.26,9.82,D,0
40.40377,111.18436,328.06,0.35,0.57,2025-12-02,447,N,VIIRS,n,2,267.72,2.18,D,0
40.56279,111.35952,347.86,0.34,0.56,2025-12-02,447,N,VIIRS,n,2,265.53,3.8,D,0
40.86922,118.23412,325.38,0.48,0.4,2025-12-02,447,N,VIIRS,n,2,272.78,2.93,D,0
41.39191,122.84043,330.45,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,272.8,2.37,D,0
41.3992,122.84322,331.42,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,273.4,2.48,D,0
41.41811,122.57391,342.76,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,274.12,5.77,D,0
41.53847,122.78067,326.96,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,271.48,1.88,D,0
41.53981,122.85654,342.21,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,274.2,5.48,D,0
41.54154,122.75601,344.13,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,274.21,4.31,D,0
41.5547,122.75242,330.93,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,273.05,3.7,D,0
41.60326,122.56407,328.16,0.38,0.36,2025-12-02,447,N,VIIRS,n,2,273.04,2.77,D,0
