latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
13.92013,101.52578,332.35,0.44,0.46,2022-12-08,654,N,VIIRS,n,2,285.43,2.81,D,0
14.30652,103.67232,334.23,0.61,0.53,2022-12-08,654,N,VIIRS,n,2,291.84,6.62,D,0
14.56295,104.48177,337.51,0.35,0.57,2022-12-08,654,N,VIIRS,n,2,293.07,2.61,D,0
14.82381,100.26758,343.05,0.56,0.43,2022-12-08,654,N,VIIRS,n,2,296.05,6,D,0
15.08741,100.38948,330.1,0.38,0.43,2022-12-08,655,N,VIIRS,n,2,295.42,2.33,D,0
15.14466,100.16701,333.45,0.56,0.43,2022-12-08,655,N,VIIRS,n,2,294.68,4.46,D,0
15.71778,100.60103,346.6,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,297.45,4.56,D,0
15.7219,100.60049,336.84,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,298.4,5.46,D,0
15.90501,104.00092,336.59,0.34,0.56,2022-12-08,655,N,VIIRS,n,2,290.66,2.72,D,0
15.98608,101.19897,332.95,0.44,0.46,2022-12-08,655,N,VIIRS,n,2,297.22,3.78,D,0
16.02816,102.35313,330.2,0.53,0.5,2022-12-08,655,N,VIIRS,n,2,293.68,2.74,D,0
16.05058,100.65699,336.13,0.41,0.45,2022-12-08,655,N,VIIRS,n,2,296.92,2.99,D,0
16.11536,100.29221,332.73,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,289.9,3.58,D,0
16.13733,100.33421,336.74,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,290.38,4.2,D,0
16.16852,100.32271,332.26,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,287.64,2.01,D,0
16.18618,100.33159,345.21,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,289.19,4.8,D,0
16.18664,100.3353,334.69,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,285.79,4.8,D,0
16.19815,100.19932,340.76,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,291.49,2.81,D,0
16.23114,100.29541,332.39,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,289.22,2.59,D,0
16.23929,100.35838,330.62,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,288.13,2.72,D,0
16.26735,100.25681,342.64,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,292.08,3.71,D,0
16.26764,100.25634,341.91,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,292.37,3.17,D,0
16.33582,100.80659,334.17,0.42,0.45,2022-12-08,655,N,VIIRS,n,2,292.45,2.55,D,0
16.34995,101.12331,330.59,0.44,0.46,2022-12-08,655,N,VIIRS,n,2,288.33,2.49,D,0
16.37114,102.99664,340.04,0.59,0.52,2022-12-08,655,N,VIIRS,n,2,292.97,5.31,D,0
16.37385,102.99397,353.9,0.59,0.53,2022-12-08,655,N,VIIRS,n,2,294.32,14.64,D,0
16.37601,102.99603,340.9,0.59,0.52,2022-12-08,655,N,VIIRS,n,2,293.14,9.47,D,0
16.38548,100.27706,333.73,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,288.8,2.8,D,0
16.40486,100.2669,333.71,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,290.91,2.85,D,0
16.41827,100.24257,330.14,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,289.67,2.31,D,0
16.42949,100.23354,333.04,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,290.16,2.47,D,0
16.42996,100.23723,329.45,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,290.26,2.44,D,0
16.43044,100.24091,330.35,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,290.01,2.44,D,0
16.5114,100.25967,338.93,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,290.61,6.56,D,0
16.56624,100.33191,333.92,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,290.94,2.28,D,0
16.59306,100.1244,330.23,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,292.5,2.76,D,0
16.60539,100.28796,334.35,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,291.99,3.27,D,0
16.60974,100.35609,334.06,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,290.26,3.02,D,0
16.72929,100.28711,339.56,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,283.13,3.61,D,0
16.8912,100.32606,335.47,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,291.18,3.95,D,0
17.18511,100.95306,328.11,0.44,0.46,2022-12-08,655,N,VIIRS,n,2,287.92,1.35,D,0
17.19285,100.87635,343.68,0.44,0.46,2022-12-08,655,N,VIIRS,n,2,287.97,4.96,D,0
17.22554,100.10442,337.1,0.39,0.44,2022-12-08,655,N,VIIRS,n,2,287,3.85,D,0
17.32806,100.13199,328.7,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,289.9,4.96,D,0
17.40868,100.17844,330.28,0.4,0.44,2022-12-08,655,N,VIIRS,n,2,290.62,1.77,D,0
