latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
10.49822,105.62771,341.12,0.63,0.54,2022-05-07,543,N,VIIRS,n,2,284.53,11.88,D,0
10.49833,105.62543,342.52,0.63,0.54,2022-05-07,543,N,VIIRS,n,2,284.77,7.53,D,0
12.44462,103.27496,349.63,0.42,0.61,2022-05-07,544,N,VIIRS,n,2,277.58,5.62,D,0
12.44653,103.27487,346.15,0.42,0.61,2022-05-07,544,N,VIIRS,n,2,277.73,6.68,D,0
18.39242,104.44778,339.56,0.54,0.51,2022-05-07,545,N,VIIRS,n,2,290.37,6.9,D,0
18.3939,104.44392,341.9,0.54,0.51,2022-05-07,545,N,VIIRS,n,2,290.14,7.22,D,0
18.41879,104.49637,333.57,0.54,0.51,2022-05-07,545,N,VIIRS,n,2,292.42,6.61,D,0
18.41979,104.50137,341.12,0.54,0.51,2022-05-07,545,N,VIIRS,n,2,293.67,6.61,D,0
18.42144,104.49881,352.05,0.54,0.51,2022-05-07,545,N,VIIRS,n,2,293.39,11.37,D,0
18.51424,104.4932,333.52,0.54,0.5,2022-05-07,545,N,VIIRS,n,2,283.47,18.65,D,0
18.51511,104.49771,341.51,0.53,0.5,2022-05-07,545,N,VIIRS,n,2,286.26,32.17,D,0
18.54279,104.64267,345.33,0.52,0.5,2022-05-07,545,N,VIIRS,n,2,285.69,21.92,D,0
18.54314,104.64476,340.21,0.52,0.5,2022-05-07,545,N,VIIRS,n,2,284.36,9.83,D,0
18.57037,104.11651,337.56,0.56,0.52,2022-05-07,545,N,VIIRS,n,2,289.18,13.21,D,0
18.57114,104.11868,350.72,0.56,0.52,2022-05-07,545,N,VIIRS,n,2,288.9,21.51,D,0
18.57128,104.12125,332.55,0.56,0.52,2022-05-07,545,N,VIIRS,n,2,286.61,12.64,D,0
18.59011,103.86437,342.11,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,295.97,111.21,D,0
18.59136,103.87074,330.01,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,289.49,68.99,D,0
18.6245,103.89012,334.3,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,291.3,4.24,D,0
18.62527,103.89111,340.77,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,290.97,7.59,D,0
18.6531,104.08547,339.39,0.56,0.52,2022-05-07,545,N,VIIRS,n,2,290.17,9.03,D,0
18.65374,104.08405,343.71,0.56,0.52,2022-05-07,545,N,VIIRS,n,2,290.32,14.52,D,0
18.65857,104.31415,343.1,0.55,0.51,2022-05-07,545,N,VIIRS,n,2,282.51,15.37,D,0
18.66557,104.04813,331.17,0.57,0.52,2022-05-07,545,N,VIIRS,n,2,290.07,5.06,D,0
18.66597,104.04685,340.71,0.57,0.52,2022-05-07,545,N,VIIRS,n,2,289.97,4.46,D,0
18.67483,103.8674,331.63,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,289.12,6.08,D,0
18.73942,103.91761,353.57,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,291.45,28.31,D,0
18.74197,103.90515,331.95,0.58,0.52,2022-05-07,545,N,VIIRS,n,2,289.73,7.3,D,0
18.77719,104.18839,353.55,0.55,0.51,2022-05-07,545,N,VIIRS,n,2,293.51,54.43,D,0
18.80125,104.41245,335.48,0.54,0.5,2022-05-07,545,N,VIIRS,n,2,292.09,10.23,D,0
18.80585,104.41145,330.77,0.54,0.5,2022-05-07,545,N,VIIRS,n,2,288.85,10.23,D,0
18.73802,103.91496,333.66,0.58,0.52,2022-05-07,546,N,VIIRS,n,2,291.02,17.33,D,0
18.73917,103.92061,339.92,0.58,0.52,2022-05-07,546,N,VIIRS,n,2,290.88,17.33,D,0
18.74052,103.90269,335.15,0.58,0.52,2022-05-07,546,N,VIIRS,n,2,289.91,7.45,D,0
18.77779,104.18541,334.25,0.55,0.51,2022-05-07,546,N,VIIRS,n,2,288.73,38.02,D,0
18.77879,104.19036,342.23,0.55,0.51,2022-05-07,546,N,VIIRS,n,2,292.34,38.02,D,0
20.44135,102.92643,342.47,0.62,0.54,2022-05-07,546,N,VIIRS,n,2,290.49,29.31,D,0
16.80599,98.6126,333.08,0.51,0.66,2022-05-07,726,N,VIIRS,n,2,287.92,2.86,D,0
17.9458,99.58578,339.66,0.61,0.71,2022-05-07,726,N,VIIRS,n,2,285.46,10.5,D,0
17.94632,99.59187,332.07,0.61,0.71,2022-05-07,726,N,VIIRS,n,2,285.07,12.97,D,0
19.71734,99.29067,348.89,0.61,0.71,2022-05-07,726,N,VIIRS,n,2,286.68,9.51,D,0
19.71954,99.29277,336.07,0.61,0.71,2022-05-07,726,N,VIIRS,n,2,286.18,8.68,D,0
15.59913,104.55462,334.5,0.61,0.71,2022-05-08,526,N,VIIRS,n,2,287.72,5.21,D,0
11.39162,98.75884,344.58,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,289.07,9.42,D,0
11.3917,98.75983,367,0.43,0.46,2022-05-08,705,N,VIIRS,h,2,290.8,21.04,D,0
11.39216,98.76276,341.12,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,288.67,17.58,D,0
11.39582,98.75814,333.83,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,287.29,9.42,D,0
11.39591,98.75914,342.31,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,287.75,5.29,D,0
11.49576,98.79723,335.44,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,290.18,20.19,D,0
11.49909,98.79664,346.34,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,292.62,41.91,D,0
11.50004,98.79694,350.4,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,291.89,20.19,D,0
11.57236,98.79562,332.64,0.43,0.46,2022-05-08,705,N,VIIRS,n,2,289.32,3.53,D,0
15.19383,104.43129,340.21,0.57,0.69,2022-05-08,706,N,VIIRS,n,2,288.4,6.27,D,0
16.22002,98.80794,338.05,0.5,0.49,2022-05-08,707,N,VIIRS,n,2,296.11,6.18,D,0
17.28445,97.78902,331.38,0.44,0.46,2022-05-08,707,N,VIIRS,n,2,293.5,2.58,D,0
17.82072,97.517,332.03,0.43,0.46,2022-05-08,707,N,VIIRS,n,2,293.75,2.09,D,0
19.25779,100.37159,329.94,0.35,0.56,2022-05-08,707,N,VIIRS,n,2,289.63,4.39,D,0
11.89796,104.54427,342.51,0.51,0.49,2022-05-09,646,N,VIIRS,n,2,291.69,10,D,0
12.48407,104.14462,332.62,0.49,0.48,2022-05-09,646,N,VIIRS,n,2,290.91,3.65,D,0
12.67362,98.32639,329.05,0.39,0.36,2022-05-09,647,N,VIIRS,n,2,286.88,2.35,D,0
12.76861,101.47239,332.93,0.51,0.41,2022-05-09,647,N,VIIRS,n,2,290.83,2.36,D,0
12.80384,105.21191,337.19,0.58,0.52,2022-05-09,647,N,VIIRS,n,2,287.24,6.56,D,0
12.93622,105.10522,344.07,0.57,0.52,2022-05-09,647,N,VIIRS,n,2,289.05,11.06,D,0
13.10153,104.49997,338.9,0.52,0.5,2022-05-09,647,N,VIIRS,n,2,291.47,5.92,D,0
13.5384,102.58991,331.21,0.4,0.44,2022-05-09,647,N,VIIRS,n,2,291.29,1.89,D,0
