feature_order,feature,feature_group,data_split,paired_n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_fdr_q,spearman_fdr_q,pearson_fdr_significant_0_05,spearman_fdr_significant_0_05,selection_rule,primary_correlation
1,observed_pm25_median_lag1,LAGGED_OBSERVED_PM25,TRAIN,3657,0.9324591003725986,0.0,0.929162053009709,0.0,0.0,0.0,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
2,observed_pm25_median_lag2,LAGGED_OBSERVED_PM25,TRAIN,3657,0.8656354280364931,0.0,0.8542301916457202,0.0,0.0,0.0,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
3,observed_pm25_median_lag3,LAGGED_OBSERVED_PM25,TRAIN,3657,0.8421130146407451,0.0,0.8071855350396583,0.0,0.0,0.0,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
4,temperature_mean_c_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,0.007520046299050067,0.649388592508677,-0.24034155106019547,3.269714112262933e-49,0.649388592508677,3.9236569347155196e-49,False,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
5,relative_humidity_mean_pct_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,-0.5796476189062693,0.0,-0.6128996114921392,0.0,0.0,0.0,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
6,precipitation_mm_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,-0.24510695104965258,3.58968345225752e-51,-0.6865501437292929,0.0,4.786244603010027e-51,0.0,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
7,wind_speed_mean_kmh_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,0.16962443265857519,5.20205077413611e-25,0.11826823441337467,7.241366773054154e-13,6.242460928963332e-25,7.899672843331804e-13,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
8,wind_direction_sin_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,-0.12052697312680194,2.6158545923088196e-13,0.029866120038281704,0.07093657418204968,2.9895481054957936e-13,0.07093657418204968,True,False,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
9,wind_direction_cos_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,-0.035981567314015604,0.029564321575708957,0.10905737777877597,3.77838492466232e-11,0.030849726861609347,3.942662530082421e-11,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
10,surface_pressure_mean_hpa_lag1,PRIOR_DAY_WEATHER,TRAIN,3657,0.06118658536522243,0.00021361271363020678,0.20664076276880716,1.4710244025127165e-36,0.00023303205123295287,1.6811707457288186e-36,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
11,hotspot_count_thailand_000_050km_lag1,LAGGED_THAI_HOTSPOTS,TRAIN,3657,0.76444638412636,0.0,0.6837458988141497,0.0,0.0,0.0,True,True,ALL_PRE_SPECIFIED_NUMERIC_FEATURES; NO_P_VALUE_SELECTION,SPEARMAN
