province_key,province_name_en,year_ce,province_days,thailand_hotspot_total,thailand_hotspot_daily_mean,thailand_hotspot_active_days,laos_hotspot_total,laos_hotspot_daily_mean,laos_hotspot_active_days,myanmar_hotspot_total,myanmar_hotspot_daily_mean,myanmar_hotspot_active_days,china_hotspot_total,china_hotspot_daily_mean,china_hotspot_active_days,paired_pm25_days,thai_hotspot_pm25_spearman_rho,thai_hotspot_pm25_spearman_p
50,Chiang Mai,2021,246,8834,35.91056910569106,197,3654,14.853658536585366,142,8027,32.63008130081301,184,1222,4.967479674796748,146,148,0.6785353725574738,2.6590246080626668e-21
50,Chiang Mai,2022,365,36075,98.83561643835617,311,59453,162.8849315068493,262,135123,370.2,307,2678,7.336986301369863,251,328,0.718312374446516,2.6378068865535412e-53
50,Chiang Mai,2023,365,138233,378.72054794520545,331,161704,443.02465753424656,255,235638,645.5835616438357,310,5514,15.106849315068493,271,245,0.8467757049386542,1.4684249955342522e-68
50,Chiang Mai,2024,366,98048,267.89071038251365,302,90795,248.0737704918033,244,209379,572.0737704918033,279,4152,11.344262295081966,246,358,0.8254180295972663,2.0279528299802996e-90
50,Chiang Mai,2025,365,73489,201.33972602739726,302,63367,173.60821917808218,238,168598,461.9123287671233,291,4088,11.2,254,348,0.7962486834413625,1.6221588946867333e-77
51,Lamphun,2021,246,9575,38.922764227642276,203,3096,12.585365853658537,139,8165,33.1910569105691,183,365,1.483739837398374,102,141,0.7398083526043476,1.085816692724013e-25
51,Lamphun,2022,365,37949,103.96986301369863,317,53639,146.95616438356166,258,127174,348.4219178082192,299,912,2.4986301369863013,200,326,0.7694738579232362,4.684330364680419e-65
51,Lamphun,2023,365,142726,391.0301369863014,339,143794,393.95616438356166,248,221693,607.3780821917808,303,1879,5.147945205479452,226,141,0.8604178981096947,1.5756694963008177e-42
51,Lamphun,2024,366,101695,277.8551912568306,305,80439,219.77868852459017,242,198656,542.775956284153,277,1856,5.0710382513661205,213,355,0.7825609626268736,1.2102158993678439e-74
51,Lamphun,2025,365,76286,209.0027397260274,307,56334,154.33972602739726,234,157412,431.26575342465753,282,1682,4.608219178082192,220,348,0.7446143236179451,1.042707214899332e-62
52,Lampang,2021,246,10484,42.61788617886179,205,4259,17.3130081300813,149,6728,27.349593495934958,169,391,1.589430894308943,106,150,0.746241847325416,6.077524801673043e-28
52,Lampang,2022,365,42787,117.22465753424657,317,64798,177.52876712328768,268,109475,299.93150684931504,285,985,2.6986301369863015,202,328,0.7827488930451364,4.009101048614315e-69
52,Lampang,2023,365,150473,412.25479452054793,341,170879,468.1616438356164,259,194085,531.7397260273973,284,1991,5.454794520547945,227,244,0.8045985725700879,1.0649999744824632e-56
52,Lampang,2024,366,109789,299.96994535519127,309,97621,266.724043715847,249,173602,474.3224043715847,264,1872,5.114754098360656,214,358,0.8531526511714902,1.2156017902674052e-102
52,Lampang,2025,365,83413,228.52876712328768,312,68939,188.8739726027397,242,134639,368.87397260273974,268,1737,4.758904109589041,221,351,0.7822347529630383,1.0197181453414837e-73
