month,province_day_rows,distinct_years,pm25_mean_ugm3,pm25_sd_ugm3,pm25_q1_ugm3,pm25_median_ugm3,pm25_q3_ugm3,pm25_min_ugm3,pm25_max_ugm3,days_above_37_5,pct_days_above_37_5
1,718,4,30.926622562674094,11.524870791938227,22.525,30.0,38.0875,0.0,67.15,189,26.323119777158777
2,637,4,38.85209576138148,17.285655531382663,27.15,37.2,48.3,7.18,156.0,314,49.293563579277865
3,688,4,70.10319767441861,46.26367672937182,41.6875,56.474999999999994,86.6875,13.4,423.5,568,82.55813953488372
4,827,5,64.2994377267231,46.84852079825913,33.650000000000006,53.0,82.0,4.970000000000001,317.0,582,70.37484885126965
5,827,5,23.367604594921406,18.851355443707895,10.8,18.5,29.025,2.285,153.5,117,14.147521160822249
6,836,5,10.866931818181817,5.041079208558663,7.49625,9.875,13.1,1.5699999999999998,35.7,0,0.0
7,727,5,8.7074477303989,4.300603397108372,6.1899999999999995,8.04,10.6,0.454,41.05,1,0.1375515818431912
8,910,5,10.301686263736263,7.689918710680488,6.782500000000001,8.8625,11.6,1.06,69.9,14,1.5384615384615385
9,942,5,9.756512738853504,6.012466730404077,6.01375,8.559999999999999,11.729999999999999,0.625,52.825,7,0.743099787685775
10,979,5,14.772155260469868,8.50077073688403,8.745000000000001,12.1,19.875,0.0,47.4,22,2.247191011235955
11,928,5,18.900855603448274,8.998926189365665,12.4,17.7,24.8625,0.588,48.4,27,2.9094827586206895
12,1028,5,29.032806420233463,9.970116115856365,22.2375,29.3,35.3625,0.0,68.9,183,17.801556420233464
