dataset_name,used_by_files,column_order,column_name,data_type,role,is_main_model_feature,unit,nullable_in_full_dataset,available_at_prediction_time,source_or_derivation,description
data_per_day,data_per_day.csv,1,province_key,categorical,PRIMARY_KEY,False,unitless,False,,Study province reference,Two-digit official province code used as the province key.
data_per_day,data_per_day.csv,2,province_name_th,string,DESCRIPTIVE_OR_CONTEXT,False,unitless,False,,Study province reference,Province name in Thai.
data_per_day,data_per_day.csv,3,province_name_en,string,DESCRIPTIVE_OR_CONTEXT,False,unitless,False,,Study province reference,Province name in English.
data_per_day,data_per_day.csv,4,analysis_date,date,PRIMARY_KEY,False,date,False,,Derived calendar or analytical field,Bangkok calendar date represented by the row.
data_per_day,data_per_day.csv,5,observed_pm25_median_ugm3,numeric,DESCRIPTIVE_OR_CONTEXT,False,micrograms per cubic metre,True,,OpenAQ or lag derived from OpenAQ,Median observed PM2.5 across eligible OpenAQ sensors in the province-day.
data_per_day,data_per_day.csv,6,observed_pm25_mean_ugm3,numeric,DESCRIPTIVE_OR_CONTEXT,False,micrograms per cubic metre,True,,OpenAQ or lag derived from OpenAQ,Mean observed PM2.5 across eligible OpenAQ sensors in the province-day.
data_per_day,data_per_day.csv,7,observed_pm25_min_ugm3,numeric,DESCRIPTIVE_OR_CONTEXT,False,micrograms per cubic metre,True,,OpenAQ or lag derived from OpenAQ,Minimum observed PM2.5 across eligible OpenAQ sensors in the province-day.
data_per_day,data_per_day.csv,8,observed_pm25_max_ugm3,numeric,DESCRIPTIVE_OR_CONTEXT,False,micrograms per cubic metre,True,,OpenAQ or lag derived from OpenAQ,Maximum observed PM2.5 across eligible OpenAQ sensors in the province-day.
data_per_day,data_per_day.csv,9,observed_pm25_sd_across_sensors_ugm3,numeric,DESCRIPTIVE_OR_CONTEXT,False,micrograms per cubic metre,True,,OpenAQ or lag derived from OpenAQ,Standard deviation of observed PM2.5 across eligible sensors in the province-day.
data_per_day,data_per_day.csv,10,observed_primary_row_count,numeric,DESCRIPTIVE_OR_CONTEXT,False,count,True,,OpenAQ or lag derived from OpenAQ,Number of eligible OpenAQ sensor-day rows contributing to the province-day.
data_per_day,data_per_day.csv,11,observed_sensor_count,numeric,DESCRIPTIVE_OR_CONTEXT,False,count,True,,OpenAQ or lag derived from OpenAQ,Number of distinct eligible OpenAQ sensors contributing to the province-day.
data_per_day,data_per_day.csv,12,observed_location_count,numeric,DESCRIPTIVE_OR_CONTEXT,False,count,True,,OpenAQ or lag derived from OpenAQ,Number of distinct OpenAQ locations contributing to the province-day.
data_per_day,data_per_day.csv,13,observed_pm25_matched,boolean,QUALITY_CONTROL,False,unitless,False,,OpenAQ or lag derived from OpenAQ,Whether the observed pm25 source table matched the analytical row.
data_per_day,data_per_day.csv,14,temperature_mean_c,numeric,DESCRIPTIVE_OR_CONTEXT,False,degrees Celsius,False,,Open-Meteo historical weather or derived lag,Daily mean 2-metre air temperature.
data_per_day,data_per_day.csv,15,relative_humidity_mean_pct,integer,DESCRIPTIVE_OR_CONTEXT,False,percent,False,,Open-Meteo historical weather or derived lag,Daily mean 2-metre relative humidity.
data_per_day,data_per_day.csv,16,precipitation_mm,numeric,DESCRIPTIVE_OR_CONTEXT,False,millimetres,False,,Open-Meteo historical weather or derived lag,Daily accumulated precipitation.
