dataset_name,used_by_files,column_order,column_name,data_type,role,is_main_model_feature,unit,nullable_in_full_dataset,available_at_prediction_time,source_or_derivation,description
env_data,env_data_full.csv;env_data_notnull.csv,1,province_key,categorical,PRIMARY_KEY_AND_MODEL_FEATURE,True,unitless,False,True,Study province reference,Two-digit official province code used as the province key.
env_data,env_data_full.csv;env_data_notnull.csv,2,province_name_th,string,DESCRIPTIVE_OR_CONTEXT,False,unitless,False,True,Study province reference,Province name in Thai.
env_data,env_data_full.csv;env_data_notnull.csv,3,province_name_en,string,DESCRIPTIVE_OR_CONTEXT,False,unitless,False,True,Study province reference,Province name in English.
env_data,env_data_full.csv;env_data_notnull.csv,4,analysis_date,date,PRIMARY_KEY,False,date,False,True,Derived calendar or analytical field,Bangkok calendar date represented by the row.
env_data,env_data_full.csv;env_data_notnull.csv,5,data_split,string,DESCRIPTIVE_OR_CONTEXT,False,unitless,False,True,Derived calendar or analytical field,"Temporal model split: TRAIN, VALIDATION, or TEST."
env_data,env_data_full.csv;env_data_notnull.csv,6,observed_pm25_median_ugm3,numeric,TARGET,False,micrograms per cubic metre,True,False,OpenAQ or lag derived from OpenAQ,Median observed PM2.5 across eligible OpenAQ sensors in the province-day.
env_data,env_data_full.csv;env_data_notnull.csv,7,persistence_baseline_prediction,numeric,BASELINE_PREDICTION,False,micrograms per cubic metre,True,True,OpenAQ or lag derived from OpenAQ,Baseline prediction equal to observed PM2.5 on the previous day.
env_data,env_data_full.csv;env_data_notnull.csv,8,observed_pm25_median_lag1,numeric,MAIN_MODEL_FEATURE,True,micrograms per cubic metre,True,True,OpenAQ or lag derived from OpenAQ,Observed province-day median PM2.5 from 1 day(s) before the target date.
env_data,env_data_full.csv;env_data_notnull.csv,9,observed_pm25_median_lag2,numeric,MAIN_MODEL_FEATURE,True,micrograms per cubic metre,True,True,OpenAQ or lag derived from OpenAQ,Observed province-day median PM2.5 from 2 day(s) before the target date.
env_data,env_data_full.csv;env_data_notnull.csv,10,observed_pm25_median_lag3,numeric,MAIN_MODEL_FEATURE,True,micrograms per cubic metre,True,True,OpenAQ or lag derived from OpenAQ,Observed province-day median PM2.5 from 3 day(s) before the target date.
env_data,env_data_full.csv;env_data_notnull.csv,11,temperature_mean_c_lag1,numeric,MAIN_MODEL_FEATURE,True,degrees Celsius,True,True,Open-Meteo historical weather or derived lag,"Daily mean 2-metre air temperature, shifted one day before the target date."
env_data,env_data_full.csv;env_data_notnull.csv,12,relative_humidity_mean_pct_lag1,numeric,MAIN_MODEL_FEATURE,True,percent,True,True,Open-Meteo historical weather or derived lag,"Daily mean 2-metre relative humidity, shifted one day before the target date."
env_data,env_data_full.csv;env_data_notnull.csv,13,precipitation_mm_lag1,numeric,MAIN_MODEL_FEATURE,True,millimetres,True,True,Open-Meteo historical weather or derived lag,"Daily accumulated precipitation, shifted one day before the target date."
env_data,env_data_full.csv;env_data_notnull.csv,14,wind_speed_mean_kmh_lag1,numeric,MAIN_MODEL_FEATURE,True,kilometres per hour,True,True,Open-Meteo historical weather or derived lag,"Daily mean 10-metre wind speed, shifted one day before the target date."
env_data,env_data_full.csv;env_data_notnull.csv,15,wind_direction_sin_lag1,numeric,MAIN_MODEL_FEATURE,True,unitless,True,True,Open-Meteo historical weather or derived lag,Sine transformation of dominant wind direction one day before the target date.
env_data,env_data_full.csv;env_data_notnull.csv,16,wind_direction_cos_lag1,numeric,MAIN_MODEL_FEATURE,True,unitless,True,True,Open-Meteo historical weather or derived lag,Cosine transformation of dominant wind direction one day before the target date.
env_data,env_data_full.csv;env_data_notnull.csv,17,surface_pressure_mean_hpa_lag1,numeric,MAIN_MODEL_FEATURE,True,hectopascals,True,True,Open-Meteo historical weather or derived lag,"Daily mean surface pressure, shifted one day before the target date."
env_data,env_data_full.csv;env_data_notnull.csv,18,hotspot_count_thailand_000_050km_lag1,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 0-50 km of the nearest eligible monitoring location, 1 day(s) before the represented target date."
env_data,env_data_full.csv;env_data_notnull.csv,19,hotspot_count_thailand_000_050km_lag2,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 0-50 km of the nearest eligible monitoring location, 2 day(s) before the represented target date."
env_data,env_data_full.csv;env_data_notnull.csv,20,hotspot_count_thailand_000_050km_lag3,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 0-50 km of the nearest eligible monitoring location, 3 day(s) before the represented target date."
env_data,env_data_full.csv;env_data_notnull.csv,21,hotspot_count_thailand_050_100km_lag1,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 50-100 km of the nearest eligible monitoring location, 1 day(s) before the represented target date."
env_data,env_data_full.csv;env_data_notnull.csv,22,hotspot_count_thailand_050_100km_lag2,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 50-100 km of the nearest eligible monitoring location, 2 day(s) before the represented target date."
env_data,env_data_full.csv;env_data_notnull.csv,23,hotspot_count_thailand_050_100km_lag3,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 50-100 km of the nearest eligible monitoring location, 3 day(s) before the represented target date."
env_data,env_data_full.csv;env_data_notnull.csv,24,hotspot_count_thailand_100_300km_lag1,numeric,MAIN_MODEL_FEATURE,True,count,True,True,NASA FIRMS VIIRS S-NPP or derived lag/QC,"Filtered VIIRS S-NPP hotspot count in Thailand within 100-300 km of the nearest eligible monitoring location, 1 day(s) before the represented target date."
