model,transformed_feature,importance,feature
RF_WITH_HOTSPOTS,numeric__observed_pm25_median_lag1,0.9233735177447842,observed_pm25_median_lag1
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_000_050km_lag1,0.007717776645844688,hotspot_count_thailand_000_050km_lag1
RF_WITH_HOTSPOTS,numeric__wind_direction_sin_lag1,0.006332981298892444,wind_direction_sin_lag1
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_300_500km_lag1,0.005855772829750035,hotspot_count_thailand_300_500km_lag1
RF_WITH_HOTSPOTS,numeric__precipitation_mm_lag1,0.0050159276238099315,precipitation_mm_lag1
RF_WITH_HOTSPOTS,numeric__relative_humidity_mean_pct_lag1,0.0049382950280156155,relative_humidity_mean_pct_lag1
RF_WITH_HOTSPOTS,numeric__observed_pm25_median_lag3,0.004665130812299885,observed_pm25_median_lag3
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_100_300km_lag1,0.00448229203441196,hotspot_count_thailand_100_300km_lag1
RF_WITH_HOTSPOTS,numeric__observed_pm25_median_lag2,0.004061554890410347,observed_pm25_median_lag2
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_050_100km_lag1,0.0031199142609719165,hotspot_count_thailand_050_100km_lag1
RF_WITH_HOTSPOTS,numeric__target_day_of_year_sin,0.0031147509860138963,target_day_of_year_sin
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_000_050km_lag2,0.002864850602863855,hotspot_count_thailand_000_050km_lag2
RF_WITH_HOTSPOTS,numeric__target_day_of_year_cos,0.0027335001806469074,target_day_of_year_cos
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_050_100km_lag2,0.0024529059624664494,hotspot_count_thailand_050_100km_lag2
RF_WITH_HOTSPOTS,numeric__wind_speed_mean_kmh_lag1,0.002253659371793049,wind_speed_mean_kmh_lag1
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_300_500km_lag2,0.002163561537272442,hotspot_count_thailand_300_500km_lag2
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_300_500km_lag3,0.001992208284975311,hotspot_count_thailand_300_500km_lag3
RF_WITH_HOTSPOTS,numeric__surface_pressure_mean_hpa_lag1,0.0018834133222849372,surface_pressure_mean_hpa_lag1
RF_WITH_HOTSPOTS,numeric__temperature_mean_c_lag1,0.0018818676872989263,temperature_mean_c_lag1
RF_WITH_HOTSPOTS,numeric__wind_direction_cos_lag1,0.0018267776823690813,wind_direction_cos_lag1
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_100_300km_lag3,0.0017116680890217383,hotspot_count_thailand_100_300km_lag3
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_000_050km_lag3,0.0015877894542810896,hotspot_count_thailand_000_050km_lag3
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_100_300km_lag2,0.0015122879269203178,hotspot_count_thailand_100_300km_lag2
RF_WITH_HOTSPOTS,numeric__hotspot_count_thailand_050_100km_lag3,0.0013478521914152023,hotspot_count_thailand_050_100km_lag3
RF_WITH_HOTSPOTS,province__province_key_58,0.00039528893121821526,province_key_58
RF_WITH_HOTSPOTS,province__province_key_50,0.00030271618400623366,province_key_50
RF_WITH_HOTSPOTS,province__province_key_57,0.0001390185326294222,province_key_57
RF_WITH_HOTSPOTS,province__province_key_51,0.00012872473201340062,province_key_51
RF_WITH_HOTSPOTS,province__province_key_52,6.505661625292291e-05,province_key_52
RF_WITH_HOTSPOTS,province__province_key_55,4.932840689986423e-05,province_key_55
RF_WITH_HOTSPOTS,province__province_key_56,1.5750504799934665e-05,province_key_56
RF_WITH_HOTSPOTS,province__province_key_54,1.3859643365743588e-05,province_key_54
