table,column,dtype
provinces.csv,province_key,object
provinces.csv,province_name_th,object
provinces.csv,province_name_en,object
provinces.csv,latitude,float64
provinces.csv,longitude,float64
location.csv,location_id,int64
location.csv,location_name,object
location.csv,province_key,string
location.csv,province_name_th,object
location.csv,province_name_en,object
location.csv,distance_to_province_centroid_km,float64
location.csv,latitude,Float64
location.csv,longitude,Float64
location.csv,timezone,object
observepm25_sensorday.csv,province_key,string
observepm25_sensorday.csv,province_name_th,object
observepm25_sensorday.csv,province_name_en,object
observepm25_sensorday.csv,location_id,int64
observepm25_sensorday.csv,location_name,object
observepm25_sensorday.csv,sensor_id,int64
observepm25_sensorday.csv,sensor_name,object
observepm25_sensorday.csv,latitude,float64
observepm25_sensorday.csv,longitude,float64
observepm25_sensorday.csv,analysis_date,datetime64[ns]
observepm25_sensorday.csv,pm25_ugm3,Float64
observepm25_sensorday.csv,percent_coverage,Float64
observepm25_sensorday.csv,primary_analysis_eligible,boolean
observepm25_sensorday.csv,source,object
observepm25_provinceday.csv,province_key,string
observepm25_provinceday.csv,analysis_date,datetime64[ns]
observepm25_provinceday.csv,observed_pm25_median_ugm3,Float64
observepm25_provinceday.csv,observed_pm25_mean_ugm3,Float64
observepm25_provinceday.csv,observed_pm25_min_ugm3,Float64
observepm25_provinceday.csv,observed_pm25_max_ugm3,Float64
observepm25_provinceday.csv,observed_pm25_sd_across_sensors_ugm3,Float64
observepm25_provinceday.csv,observed_primary_row_count,Int64
observepm25_provinceday.csv,observed_sensor_count,int64
observepm25_provinceday.csv,observed_location_count,int64
weather_provinceday.csv,province_key,string
weather_provinceday.csv,analysis_date,datetime64[ns]
weather_provinceday.csv,temperature_mean_c,Float64
weather_provinceday.csv,relative_humidity_mean_pct,Int64
weather_provinceday.csv,precipitation_mm,Float64
weather_provinceday.csv,wind_speed_mean_kmh,Float64
weather_provinceday.csv,wind_direction_dominant_deg,Int64
weather_provinceday.csv,surface_pressure_mean_hpa,Float64
modelpm25_provinceday.csv,province_key,string
modelpm25_provinceday.csv,analysis_date,datetime64[ns]
modelpm25_provinceday.csv,modeled_pm25_mean_ugm3,Float64
modelpm25_provinceday.csv,modeled_pm25_median_ugm3,Float64
modelpm25_provinceday.csv,modeled_pm25_hour_count,Int64
hotspot.csv,province_key,object
hotspot.csv,analysis_date,datetime64[ns]
hotspot.csv,hotspot_count_thailand_000_050km_lag0,int64
hotspot.csv,hotspot_count_thailand_050_100km_lag0,int64
hotspot.csv,hotspot_count_thailand_100_300km_lag0,int64
hotspot.csv,hotspot_count_thailand_300_500km_lag0,int64
hotspot.csv,hotspot_count_laos_000_050km_lag0,int64
hotspot.csv,hotspot_count_laos_050_100km_lag0,int64
hotspot.csv,hotspot_count_laos_100_300km_lag0,int64
hotspot.csv,hotspot_count_laos_300_500km_lag0,int64
hotspot.csv,hotspot_count_myanmar_000_050km_lag0,int64
hotspot.csv,hotspot_count_myanmar_050_100km_lag0,int64
hotspot.csv,hotspot_count_myanmar_100_300km_lag0,int64
hotspot.csv,hotspot_count_myanmar_300_500km_lag0,int64
hotspot.csv,hotspot_count_china_000_050km_lag0,int64
hotspot.csv,hotspot_count_china_050_100km_lag0,int64
hotspot.csv,hotspot_count_china_100_300km_lag0,int64
hotspot.csv,hotspot_count_china_300_500km_lag0,int64
facility.csv,facility_key,string
facility.csv,province_key,string
population.csv,province_key,string
population.csv,year_ce,int64
population.csv,male_population,Int64
population.csv,female_population,Int64
population.csv,total_population,Int64
hospital.csv,facility_key,string
hospital.csv,province_key,string
hospital.csv,opened_beds,Float64
diagnosis.csv,province_key,object
diagnosis.csv,year_month,string
diagnosis.csv,all_diagnosis_record_count,int64
diagnosis.csv,respiratory_record_count_any_position,int64
diagnosis.csv,respiratory_record_count_principal,int64
diagnosis.csv,active_reporting_facility_count,int64
